,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
0,Ander Iru,GK,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
1,Alex Padilla,GK,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2,Julen Agirrezabala,GK,Athletic Club,22,29,11,0,0,2,0,0,0,0,1,0,2,0
3,Unai Simon,GK,Athletic Club,90,29,47,0,0,9,2,0,0,0,9,0,8,8
4,Jon Sillero,DEF,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
5,Aitor Casamichana,DEF,Athletic Club,2,29,2,0,0,0,0,0,0,0,0,0,0,0
6,Alex Petxa,DEF,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
7,Peru Esnal,DEF,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
8,Inigo Lekue,DEF,Athletic Club,49,29,31,0,1,4,1,0,0,0,0,0,2,2
9,Mikel Balenziaga,DEF,Athletic Club,3,29,4,0,0,0,0,0,0,0,0,0,0,1
10,Oscar De Marcos,DEF,Athletic Club,93,29,51,0,5,9,5,0,1,0,0,0,3,5
11,Ander Capa,DEF,Athletic Club,10,29,7,0,0,1,1,0,0,0,0,0,0,0
12,Daniel Vivian,DEF,Athletic Club,72,29,40,1,0,8,6,0,0,0,0,0,3,3
13,Yeray Alvarez,DEF,Athletic Club,93,29,47,1,1,10,6,1,0,0,0,0,12,6
14,Yuri Berchiche,DEF,Athletic Club,68,29,36,1,0,8,5,1,0,0,0,0,7,5
15,Inigo Martinez,DEF,Athletic Club,50,29,28,1,0,5,1,0,0,0,0,0,2,5
16,Jon Morcillo,MID,Athletic Club,13,29,10,0,1,0,0,0,0,0,0,0,0,0
17,Oier Zarraga,MID,Athletic Club,24,29,25,0,0,3,4,0,0,0,0,0,0,0
18,Nico Serrano,MID,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
19,Mikel Vesga,MID,Athletic Club,81,29,49,3,3,8,4,0,1,0,0,0,6,0
20,Dani Garcia,MID,Athletic Club,43,29,33,0,2,7,5,0,0,0,0,0,2,0
21,Unai Vencedor,MID,Athletic Club,5,29,7,0,0,0,2,0,0,0,0,0,0,0
22,Alex Berenguer,MID,Athletic Club,82,29,48,3,1,8,0,0,0,0,0,0,8,0
23,Iker Munian,MID,Athletic Club,62,29,40,0,3,7,2,0,0,0,0,0,8,0
24,Malcom Ares,FWD,Athletic Club,1,29,1,0,0,0,0,0,0,0,0,0,0,0
25,Luis Bilbao,FWD,Athletic Club,0,29,0,0,0,0,0,0,0,0,0,0,0,0
26,Gorka Guruzeta,FWD,Athletic Club,62,29,31,6,1,0,2,0,0,0,0,0,6,0
27,Asier Villalibre,FWD,Athletic Club,5,29,5,0,0,0,0,0,0,0,0,0,0,0
28,Oihan Sancet,FWD,Athletic Club,76,29,50,7,0,7,3,1,0,0,0,0,4,0
29,Raul Garcia,FWD,Athletic Club,49,29,32,2,3,1,2,0,0,0,0,0,2,0
30,Nico Williams,MID,Athletic Club,100,29,52,5,4,1,1,0,0,0,0,0,11,0
