,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
0,Borja Iglesias,borja-iglesias,F,Real Betis,real-betis,14,33,13,0,1,1,2,0,0,1,0,0,0,0
1,Willian José,willian-jose,F,Real Betis,real-betis,101,33,44,10,3,7,0,1,0,6,0,0,0,11
2,Nabil Fekir,nabil-fekir,M,Real Betis,real-betis,46,33,23,1,2,3,0,0,0,2,0,0,0,9
3,Guido Rodríguez,guido-rodriguez,M,Real Betis,real-betis,53,33,38,2,0,5,6,0,0,4,0,0,0,6
4,Luiz Henrique,luiz-henrique,M,Real Betis,real-betis,37,33,20,0,3,3,1,0,0,2,0,0,0,6
5,William Carvalho,william-carvalho,M,Real Betis,real-betis,30,33,21,1,2,0,3,0,0,2,0,0,0,1
6,Andrés Guardado,andres-guardado,M,Real Betis,real-betis,15,33,14,0,0,1,1,0,0,0,0,0,0,1
7,Sergio Canales,sergio-canales,M,Real Betis,real-betis,0,33,0,0,0,0,0,0,0,0,0,0,0,0
8,Marc Roca,marc-roca,M,Real Betis,real-betis,67,33,45,2,2,9,4,0,0,4,0,0,0,1
9,Ayoze Pérez,ayoze-perez,M,Real Betis,real-betis,98,33,47,6,1,7,4,0,0,4,0,0,0,15
10,Juanmi,juanmi,F,Cádiz,cadiz,33,33,21,3,0,3,3,0,0,3,0,0,0,3
11,Rodri Sánchez,rodri-sanchez,M,Real Betis,real-betis,32,33,30,0,0,2,0,0,0,1,0,0,0,0
12,Paul Akouokou,paul-akouokou,M,Real Betis,real-betis,2,33,2,0,0,0,0,0,0,0,0,0,0,0
13,Raúl Fernández,raul-fernandez,G,Granada,granada,4,33,7,0,0,0,0,0,0,5,0,2,0,0
14,Enrique Fernández López,enrique-fernandez-lopez,M,Real Betis,real-betis,0,33,0,0,0,0,0,0,0,0,0,0,0,0
