,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
0,Ander Iru,GK,Athletic Club,0,38,0,0,0,0,0,0,0,0,0,0,0,0
1,Alex Padilla,GK,Athletic Club,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2,Julen Agirrezabala,GK,Athletic Club,25,38,15,0,0,2,0,0,0,0,1,0,2,1
3,Unai Simon,GK,Athletic Club,105,38,61,0,0,9,2,0,0,0,12,0,8,10
4,Jon Sillero,DEF,Athletic Club,0,38,0,0,0,0,0,0,0,0,0,0,0,0
5,Aitor Casamichana,DEF,Athletic Club,2,38,2,0,0,0,0,0,0,0,0,0,0,0
6,Alex Petxa,DEF,Athletic Club,0,38,0,0,0,0,0,0,0,0,0,0,0,0
7,Peru Esnal,DEF,Athletic Club,0,38,0,0,0,0,0,0,0,0,0,0,0,0
8,Inigo Lekue,DEF,Athletic Club,50,38,33,0,1,4,1,0,0,0,0,0,2,3
9,Mikel Balenziaga,DEF,Athletic Club,3,38,4,0,0,0,0,0,0,0,0,0,0,1
10,Oscar De Marcos,DEF,Athletic Club,117,38,67,1,6,9,7,0,1,0,0,0,6,7
11,Ander Capa,DEF,Athletic Club,11,38,8,0,0,1,1,0,0,0,0,0,0,0
12,Daniel Vivian,DEF,Athletic Club,81,38,55,1,0,8,8,1,0,0,0,0,3,4
13,Yeray Alvarez,DEF,Athletic Club,98,38,55,1,1,10,7,1,0,0,0,0,12,8
14,Yuri Berchiche,DEF,Athletic Club,81,38,54,1,0,8,7,1,0,0,0,0,7,8
15,Inigo Martinez,DEF,Athletic Club,52,38,30,1,0,5,1,0,0,0,0,0,2,5
16,Jon Morcillo,MID,Athletic Club,13,38,10,0,1,0,0,0,0,0,0,0,0,0
17,Oier Zarraga,MID,Athletic Club,28,38,30,0,0,3,5,0,0,0,0,0,0,0
18,Nico Serrano,MID,Athletic Club,0,38,0,0,0,0,0,0,0,0,0,0,0,0
19,Mikel Vesga,MID,Athletic Club,92,38,63,3,3,8,5,0,1,1,0,0,6,0
20,Dani Garcia,MID,Athletic Club,52,38,41,0,2,7,6,0,0,0,0,0,4,0
21,Unai Vencedor,MID,Athletic Club,7,38,9,0,0,0,2,0,0,0,0,0,0,0
