,Name,Position,Team,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,PenMiss,Saves Pts,PenSave,Bonus,2GC
0,Ander Iru,GK,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Alex Padilla,GK,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Julen Agirrezabala,GK,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Unai Simon,GK,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
4,Jon Sillero,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Aitor Casamichana,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Alex Petxa,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Peru Esnal,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Inigo Lekue,DEF,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
9,Mikel Balenziaga,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Oscar De Marcos,DEF,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
11,Ander Capa,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Daniel Vivian,DEF,Athletic Club,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13,Yeray Alvarez,DEF,Athletic Club,4,1,2,0,0,0,0,0,0,0,0,0,2,0
14,Yuri Berchiche,DEF,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Inigo Martinez,DEF,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
16,Jon Morcillo,MID,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Oier Zarraga,MID,Athletic Club,1,1,1,0,0,0,0,0,0,0,0,0,0,0
18,Nico Serrano,MID,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Mikel Vesga,MID,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
20,Dani Garcia,MID,Athletic Club,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Unai Vencedor,MID,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Alex Berenguer,MID,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
23,Iker Munian,MID,Athletic Club,2,1,2,0,0,0,0,0,0,0,0,0,0,0
24,Malcom Ares,FWD,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Luis Bilbao,FWD,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Gorka Guruzeta,FWD,Athletic Club,0,1,0,0,0,0,0,0,0,0,0,0,0,0
