,Name,Slug,Position,Team,Team Slug,Pts,GWs,Mins Pts,G,A,CS,YC,RC,OG,2GC,PenMiss,Saves Pts,PenSave,Bonus
0,Borja Iglesias,borja-iglesias,F,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Willian José,willian-jose,F,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Nabil Fekir,nabil-fekir,M,Real Betis,real-betis,2,1,2,0,0,0,0,0,0,0,0,0,0,0
3,Guido Rodríguez,guido-rodriguez,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Luiz Henrique,luiz-henrique,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,William Carvalho,william-carvalho,M,Real Betis,real-betis,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6,Andrés Guardado,andres-guardado,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Sergio Canales,sergio-canales,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Marc Roca,marc-roca,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Ayoze Pérez,ayoze-perez,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Juanmi,juanmi,M,Cádiz,cadiz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11,Rodri Sánchez,rodri-sanchez,M,Real Betis,real-betis,2,1,2,0,0,0,0,0,0,0,0,0,0,0
12,Paul Akouokou,paul-akouokou,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Raúl Fernández,raul-fernandez,G,Granada,granada,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Enrique Fernández López,enrique-fernandez-lopez,M,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Héctor Bellerín,hector-bellerin,D,Real Betis,real-betis,2,1,2,0,0,0,0,0,0,0,0,0,0,0
16,Germán Pezzella,german-pezzella,D,Real Betis,real-betis,2,1,2,0,0,0,0,0,0,0,0,0,0,0
17,Youssouf Sabaly,youssouf-sabaly,D,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Juan Miranda,juan-miranda,D,Real Betis,real-betis,5,1,2,0,0,1,1,0,0,0,0,0,0,0
19,Luiz Felipe,luiz-felipe,D,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Abner Vinícius,abner-vinicius,D,Real Betis,real-betis,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Aitor Ruibal,aitor-ruibal,D,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Martín Montoya,martin-montoya,D,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Claudio Bravo,claudio-bravo,G,Real Betis,real-betis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Rui Silva,rui-silva,G,Real Betis,real-betis,1,1,2,0,0,0,1,0,0,0,0,0,0,0
25,Robert Lewandowski,robert-lewandowski,F,Barcelona,barcelona,6,1,2,1,0,0,0,0,0,0,0,0,0,0
26,Ousmane Dembélé,ousmane-dembele,F,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Ansu Fati,ansu-fati,F,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Raphinha,raphinha,F,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Ferran Torres,ferran-torres,F,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,Abdessamad Ezzalzouli,abdessamad-ezzalzouli,F,Real Betis,real-betis,1,1,1,0,0,0,0,0,0,0,0,0,0,0
31,Pedri,pedri,M,Barcelona,barcelona,5,1,2,0,1,0,0,0,0,0,0,0,0,0
32,Frenkie de Jong,frenkie-de-jong,M,Barcelona,barcelona,4,1,2,0,0,0,0,0,0,0,0,0,0,2
33,Gavi,gavi,M,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,İlkay Gündoğan,ilkay-gundogan,M,Barcelona,barcelona,12,1,1,1,1,0,0,0,0,0,0,0,0,3
35,Franck Kessié,franck-kessie,M,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Nicolás González,nicolas-gonzalez,M,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Alex Collado,alex-collado,M,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Oriol Romeu,oriol-romeu,M,Barcelona,barcelona,1,1,1,0,0,0,0,0,0,0,0,0,0,0
39,Ronald Araújo,ronald-araujo,D,Barcelona,barcelona,2,1,2,0,0,0,0,0,0,0,0,0,0,0
40,Jules Koundé,jules-kounde,D,Barcelona,barcelona,2,1,2,0,0,0,0,0,0,0,0,0,0,0
41,Alejandro Baldé,alejandro-balde,D,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,Andreas Christensen,andreas-christensen,D,Barcelona,barcelona,2,1,2,0,0,0,0,0,0,0,0,0,0,0
43,Sergiño Dest,sergino-dest,D,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Marcos Alonso,marcos-alonso,D,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,Eric García,eric-garcia,D,Girona FC,girona-fc,9,1,2,0,0,1,0,0,0,0,0,0,0,3
46,Sergi Roberto,sergi-roberto,D,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,Clément Lenglet,clement-lenglet,D,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Iñigo Martínez,inigo-martinez,D,Barcelona,barcelona,1,1,1,0,0,0,0,0,0,0,0,0,0,0
49,Marc-André ter Stegen,marc-andre-ter-stegen,G,Barcelona,barcelona,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Iñaki Peña,inaki-pena,G,Barcelona,barcelona,2,1,2,0,0,0,0,0,0,0,0,0,0,0
51,Radamel Falcao,radamel-falcao,F,Rayo Vallecano,rayo-vallecano,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Raúl de Tomás,raul-de-tomas,F,Rayo Vallecano,rayo-vallecano,1,1,1,0,0,0,0,0,0,0,0,0,0,0
53,Randy Nteka,randy-nteka,F,Rayo Vallecano,rayo-vallecano,1,1,1,0,0,0,0,0,0,0,0,0,0,0
